Epoch 0/199
----------
model_train
696/3126,train_loss:19.134544372558594
697/3126,train_loss:18.999814987182617
698/3126,train_loss:18.621379852294922
699/3126,train_loss:19.107780456542969
700/3126,train_loss:19.109367370605469
701/3126,train_loss:19.676639556884766
702/3126,train_loss:19.359163284301758
703/3126,train_loss:18.549596786499023
704/3126,train_loss:19.089317321777344
705/3126,train_loss:19.293279647827148
706/3126,train_loss:19.170194625854492
707/3126,train_loss:19.320560455322266
708/3126,train_loss:18.825756072998047
709/3126,train_loss:19.175806045532227
710/3126,train_loss:19.056463241577148
711/3126,train_loss:18.364978790283203
712/3126,train_loss:18.666437149047852
713/3126,train_loss:18.633523941040039
714/3126,train_loss:19.226636886596680
715/3126,train_loss:18.742591857910156
716/3126,train_loss:19.588195800781250
717/3126,train_loss:19.067287445068359
718/3126,train_loss:19.526468276977539
719/3126,train_loss:19.387660980224609
720/3126,train_loss:18.815320968627930
721/3126,train_loss:19.162582397460938
722/3126,train_loss:19.302947998046875
723/3126,train_loss:18.876529693603516
724/3126,train_loss:19.082847595214844
725/3126,train_loss:19.057790756225586
726/3126,train_loss:19.225854873657227
727/3126,train_loss:18.216619491577148
728/3126,train_loss:18.749910354614258
729/3126,train_loss:18.738376617431641
730/3126,train_loss:18.203834533691406
731/3126,train_loss:18.891996383666992
732/3126,train_loss:18.855171203613281
733/3126,train_loss:18.913167953491211
734/3126,train_loss:19.462139129638672
735/3126,train_loss:19.185375213623047
736/3126,train_loss:18.764211654663086
737/3126,train_loss:18.536474227905273
738/3126,train_loss:19.551742553710938
739/3126,train_loss:18.653352737426758
740/3126,train_loss:18.767202377319336
741/3126,train_loss:18.859504699707031
742/3126,train_loss:18.686895370483398
743/3126,train_loss:18.560674667358398
744/3126,train_loss:19.365354537963867
745/3126,train_loss:19.207279205322266
746/3126,train_loss:18.785390853881836
747/3126,train_loss:18.603792190551758
748/3126,train_loss:19.422130584716797
749/3126,train_loss:18.941549301147461
750/3126,train_loss:19.007812500000000
751/3126,train_loss:19.267629623413086
752/3126,train_loss:18.786771774291992
753/3126,train_loss:18.548805236816406
754/3126,train_loss:18.776391983032227
755/3126,train_loss:18.707567214965820
756/3126,train_loss:18.808355331420898
757/3126,train_loss:19.499071121215820
758/3126,train_loss:18.654283523559570
759/3126,train_loss:18.553825378417969
760/3126,train_loss:19.154085159301758
761/3126,train_loss:18.817821502685547
762/3126,train_loss:19.427574157714844
763/3126,train_loss:18.502122879028320
764/3126,train_loss:18.962511062622070
765/3126,train_loss:18.613822937011719
766/3126,train_loss:18.987312316894531
767/3126,train_loss:18.938680648803711
768/3126,train_loss:19.023889541625977
769/3126,train_loss:18.524610519409180
